index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,Clay & silt 1,1.45,1.27,1.32,17.3,17.3,2.67,3.9,22.5,0.0,interpolated
2,Sand 1,1.27,-2.27,10.87,17.6,19.6,32.61,0.0,31.5,1.5,interpolated
3,Sand 2,-2.27,-5.25,10.06,17.5,19.5,30.19,0.0,31.3,1.3,interpolated
4,Sand 3,-5.25,-23.81,20.26,18.8,20.8,70.0,0.0,35.1,5.1,interpolated
