index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,Clay & silt 1,1.44,1.2,1.96,19.2,19.2,5.08,9.16,23.7,0.0,interpolated
2,Sand 1,1.2,0.58,6.89,17.2,19.2,20.68,0.0,30.5,0.5,interpolated
3,Sand mixtures 1,0.58,-0.22,3.23,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
4,Sand 2,-0.22,-2.4,9.71,17.5,19.5,29.14,0.0,31.2,1.2,interpolated
5,Sand 3,-2.4,-4.72,11.62,17.7,19.7,34.85,0.0,31.7,1.7,interpolated
6,Sand mixtures 2,-4.72,-5.76,4.83,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
7,Sand 4,-5.76,-33.74,23.63,19.3,21.3,85.97,0.0,36.8,6.8,interpolated
