layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
"Soil, fine grain 1",3.6500000000000004,3.31,"Soil, fine grain"
Sand mixtures 1,3.31,2.5700000000000003,Sand mixtures
Sand 1,2.5700000000000003,1.7500000000000002,Sand
Sand mixtures 2,1.7500000000000002,0.5300000000000002,Sand mixtures
Sand 2,0.5300000000000002,-5.35,Sand
Sand mixtures 3,-5.35,-7.33,Sand mixtures
Sand 3,-7.33,-8.19,Sand
Sand mixtures 4,-8.19,-8.89,Sand mixtures
Sand 4,-8.89,-11.25,Sand
