layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
Clay & silt 1,2.7800000000000002,2.72,Clay & silt
Silty clay / clayey silt 1,2.72,1.9,Silty clay / clayey silt
Sand mixtures 1,1.9,1.24,Sand mixtures
Sand mixtures 2,1.24,0.3599999999999999,Sand mixtures
Sand 1,0.3599999999999999,-1.96,Sand
Sand 2,-1.96,-2.5599999999999996,Sand
Sand 3,-2.5599999999999996,-4.28,Sand
Sand 4,-4.28,-7.36,Sand
Sand 5,-7.36,-8.32,Sand
Sand mixtures 3,-8.32,-9.54,Sand mixtures
Sand 6,-9.54,-17.02,Sand
