top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.45,1.31,0.02,0.16,Organic clay,0.14,1,Organic clay 1
1.31,0.99,0.16,0.48,Sand mixtures,0.31999999999999995,1,Sand mixtures 1
0.99,-0.050000000000000044,0.48,1.52,Sand,1.04,1,Sand 1
-0.050000000000000044,-0.95,1.52,2.42,Sand mixtures,0.8999999999999999,2,Sand mixtures 2
-0.95,-1.7100000000000002,2.42,3.18,Peat,0.7600000000000002,1,Peat 1
-1.7100000000000002,-3.83,3.18,5.3,Sand,2.1199999999999997,2,Sand 2
-3.83,-4.890000000000001,5.3,6.36,Sand mixtures,1.0600000000000005,3,Sand mixtures 3
-4.890000000000001,-15.049999999999999,6.36,16.52,Sand,10.16,3,Sand 3
-15.049999999999999,-33.59,16.52,35.06,Sand,18.540000000000003,4,Sand 4
