cpt_name,original_cpt_folder,n_points,centre_rf_percent,centre_qt_over_pa,std_log10_rf_percent,std_log10_qt_over_pa
S11,2300654_S11,440,0.8696790727192484,104.89607429998324,0.09578164372919498,0.18963710810848464
S3,2300654_S3,486,0.7024058230965204,127.16345355257516,0.09901420498706374,0.17993365657921825
S3A,2300654_S3A,480,0.9113432487579918,122.25290540598066,0.08953084832866524,0.17797115383725415
