top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
-1.5100000000000002,-2.0500000000000003,0.14,0.68,Organic clay,0.54,1,Organic clay 1
-2.0500000000000003,-4.390000000000001,0.68,3.02,Sand,2.34,1,Sand 1
-4.390000000000001,-5.55,3.02,4.18,Organic clay,1.1599999999999997,2,Organic clay 2
-5.55,-5.91,4.18,4.54,Organic clay,0.3600000000000003,3,Organic clay 3
-5.91,-6.99,4.54,5.62,Peat,1.08,1,Peat 1
-6.99,-7.37,5.62,6.0,Organic clay,0.3799999999999999,4,Organic clay 4
-7.37,-8.530000000000001,6.0,7.16,Clay & silt,1.1600000000000001,1,Clay & silt 1
-8.530000000000001,-9.510000000000002,7.16,8.14,Peat,0.9800000000000004,2,Peat 2
-9.510000000000002,-11.309999999999999,8.14,9.94,Clay & silt,1.799999999999999,2,Clay & silt 2
-11.309999999999999,-12.11,9.94,10.74,Sand,0.8000000000000007,2,Sand 2
-12.11,-12.830000000000002,10.74,11.46,Sand mixtures,0.7200000000000006,1,Sand mixtures 1
-12.830000000000002,-13.29,11.46,11.92,Silty clay / clayey silt,0.4599999999999991,1,Silty clay / clayey silt 1
-13.29,-14.010000000000002,11.92,12.64,Sand,0.7200000000000006,3,Sand 3
-14.010000000000002,-14.79,12.64,13.42,Sand mixtures,0.7799999999999994,2,Sand mixtures 2
-14.79,-15.89,13.42,14.52,Silty clay / clayey silt,1.0999999999999996,2,Silty clay / clayey silt 2
-15.89,-16.61,14.52,15.24,Clay & silt,0.7200000000000006,3,Clay & silt 3
-16.61,-17.35,15.24,15.98,Silty clay / clayey silt,0.7400000000000002,3,Silty clay / clayey silt 3
-17.35,-18.01,15.98,16.64,Clay & silt,0.6600000000000001,4,Clay & silt 4
-18.01,-18.41,16.64,17.04,Silty clay / clayey silt,0.3999999999999986,4,Silty clay / clayey silt 4
-18.41,-30.330000000000002,17.04,28.96,Sand,11.920000000000002,4,Sand 4
-30.330000000000002,-36.69,28.96,35.32,Sand,6.359999999999999,5,Sand 5
-36.69,-37.69,35.32,36.32,Sand,1.0,6,Sand 6
-37.69,-39.089999999999996,36.32,37.72,Sand,1.3999999999999986,7,Sand 7
-39.089999999999996,-39.83,37.72,38.46,Sand,0.740000000000002,8,Sand 8
-39.83,-41.43,38.46,40.06,Sand mixtures,1.6000000000000014,3,Sand mixtures 3
