index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,"Soil, fine grain 1",1.44,1.14,1.73,18.8,18.8,5.67,11.6,20.2,0.0,interpolated
2,Sand 1,1.14,-0.02,11.0,17.6,19.6,32.99,0.0,31.5,1.5,interpolated
3,Sand mixtures 1,-0.02,-0.96,1.82,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
4,Peat 1,-0.96,-1.6,0.56,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
5,Sand 2,-1.6,-12.48,11.38,17.6,19.6,34.15,0.0,31.6,1.6,interpolated
6,Sand 3,-12.48,-14.02,18.74,18.6,20.6,62.77,0.0,34.4,4.4,interpolated
7,Sand 4,-14.02,-23.72,24.71,19.5,21.5,91.14,0.0,37.4,7.4,interpolated
