elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
-1.02,4.55,12.47,0.1063,0.83,0.22,0.2,-0.09,4.55,12.47,124.7,1.7848646739197775,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.0400000000000005,4.57,11.891,0.1034,0.85,0.27,0.2,-0.18,4.57,11.891,118.91,1.8073681519708296,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.06,4.59,11.454,0.1005,0.86,0.22,0.2,-0.08,4.59,11.454,114.54,1.823158939107582,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.0800000000000005,4.61,11.131,0.0977,0.86,0.21,0.19,-0.08,4.61,11.131,111.31,1.8327906609321885,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.1,4.63,10.945,0.0974,0.87,0.21,0.19,-0.09,4.63,10.945,109.45,1.8416374294988302,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.1200000000000006,4.65,11.028,0.0969,0.87,0.27,0.2,-0.18,4.65,11.028,110.28,1.8390895586486369,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.1400000000000001,4.67,11.011,0.0938,0.85,0.22,0.2,-0.09,4.67,11.011,110.11,1.8332601186707134,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.1600000000000006,4.69,10.998,0.0924,0.83,0.22,0.2,-0.09,4.69,10.998,109.98,1.8271955014420227,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.1800000000000002,4.71,11.114,0.0923,0.81,0.22,0.2,-0.09,4.71,11.114,111.14,1.8170370323512632,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.2000000000000006,4.73,11.198,0.0911,0.78,0.22,0.2,-0.09,4.73,11.198,111.98,1.8043270847508273,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.2200000000000002,4.75,11.604,0.0886,0.73,0.22,0.2,-0.09,4.75,11.604,116.04,1.7744621381072072,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.2399999999999998,4.77,12.5,0.0848,0.67,0.21,0.19,-0.08,4.77,12.5,125.0,1.7261658683982573,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.2600000000000002,4.79,13.533,0.0793,0.6,0.22,0.2,-0.09,4.79,13.533,135.33,1.6697819387081612,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.2799999999999998,4.81,14.159,0.0747,0.53,0.22,0.2,-0.09,4.81,14.159,141.59,1.622138085459559,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.3000000000000003,4.83,14.742,0.0839,0.57,0.33,0.19,-0.27,4.83,14.742,147.42,1.6266797964102415,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.3199999999999998,4.85,15.431,0.0871,0.56,0.21,0.2,-0.08,4.85,15.431,154.31,1.6062072756079824,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.3400000000000003,4.87,15.997,0.0741,0.46,0.22,0.2,-0.09,4.87,15.997,159.97,1.5433469459046638,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.3599999999999999,4.89,16.8,0.0688,0.42,0.21,0.19,-0.09,4.89,16.8,168.0,1.503437511143829,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.3800000000000003,4.91,17.906,0.0755,0.45,0.27,0.2,-0.18,4.91,17.906,179.06,1.497862660631473,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.4,4.93,17.706,0.0883,0.53,0.22,0.2,-0.09,4.93,17.706,177.06,1.5442300762727632,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.4200000000000004,4.95,16.547,0.0987,0.6,0.22,0.2,-0.09,4.95,16.547,165.47,1.6006278117252841,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.44,4.97,16.17,0.1023,0.64,0.27,0.19,-0.18,4.97,16.17,161.70000000000002,1.6260066890668323,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.4600000000000004,4.99,14.622,0.101,0.66,0.27,0.2,-0.18,4.99,14.622,146.22,1.6684300702440003,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.48,5.01,14.562,0.0993,0.67,0.27,0.2,-0.18,5.01,14.562,145.62,1.6739007670300712,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.5000000000000004,5.03,14.169,0.0982,0.68,0.27,0.19,-0.18,5.03,14.169,141.69,1.6871992520153338,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.52,5.05,13.739,0.0942,0.67,0.27,0.2,-0.18,5.05,13.739,137.39,1.6936989241802283,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.5400000000000005,5.07,13.692,0.0861,0.61,0.27,0.2,-0.18,5.07,13.692,136.92,1.670029530094191,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.56,5.09,13.829,0.0782,0.55,0.26,0.19,-0.18,5.09,13.829,138.29,1.6398456192205977,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.5800000000000005,5.11,13.936,0.0753,0.51,0.27,0.2,-0.18,5.11,13.936,139.36,1.6181149865150302,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.6,5.13,14.488,0.0803,0.53,0.27,0.2,-0.18,5.13,14.488,144.88,1.6140371213557643,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.6200000000000006,5.15,15.881,0.0856,0.54,0.27,0.2,-0.18,5.15,15.881,158.81,1.5867340407769555,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.6400000000000001,5.17,17.003,0.0906,0.56,0.27,0.2,-0.18,5.17,17.003,170.03,1.5727952682704596,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.6600000000000006,5.19,17.619,0.0938,0.56,0.3,0.2,-0.23,5.19,17.619,176.19,1.5606440793378293,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.6800000000000002,5.21,17.699,0.0981,0.57,0.21,0.19,-0.09,5.21,17.699,176.99,1.563886518343887,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.7000000000000006,5.23,17.706,0.1105,0.64,0.27,0.2,-0.18,5.23,17.706,177.06,1.595629953830345,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.7200000000000002,5.25,17.459,0.1127,0.66,0.21,0.19,-0.08,5.25,17.459,174.59,1.6089089576221907,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.7399999999999998,5.27,16.827,0.1086,0.65,0.26,0.2,-0.18,5.27,16.827,168.27,1.6169197091661147,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.7600000000000002,5.29,16.44,0.1121,0.68,0.27,0.19,-0.18,5.29,16.44,164.4,1.6372346421484612,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.7799999999999998,5.31,16.044,0.1163,0.72,0.26,0.19,-0.18,5.31,16.044,160.44,1.6613486668203068,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.8000000000000003,5.33,15.678,0.1229,0.79,0.26,0.19,-0.18,5.33,15.678,156.78,1.6952799817100008,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.8199999999999998,5.35,15.294,0.1222,0.8,0.27,0.2,-0.18,5.35,15.294,152.94,1.706981885550735,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.8400000000000003,5.37,14.891,0.1151,0.78,0.27,0.2,-0.18,5.37,14.891,148.91,1.7085552109538633,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.8599999999999999,5.39,14.468,0.1133,0.79,0.27,0.2,-0.18,5.39,14.468,144.68,1.7216620492489088,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.8800000000000003,5.41,14.049,0.1075,0.77,0.26,0.19,-0.18,5.41,14.049,140.49,1.7242225436324663,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.9,5.43,13.596,0.108,0.8,0.27,0.2,-0.18,5.43,13.596,135.96,1.7457951933215634,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.9200000000000004,5.45,12.94,0.1133,0.87,0.29,0.2,-0.21,5.45,12.94,129.4,1.7857288167561385,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.94,5.47,12.56,0.1107,0.87,0.27,0.2,-0.18,5.47,12.56,125.6,1.7955930235057591,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.9600000000000004,5.49,12.007,0.1054,0.84,0.34,0.2,-0.27,5.49,12.007,120.07,1.800846319019673,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-1.98,5.51,12.017,0.0991,0.81,0.27,0.2,-0.18,5.51,12.017,120.17,1.7905712578295876,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.0000000000000004,5.53,12.027,0.0932,0.77,0.27,0.19,-0.18,5.53,12.027,120.27,1.7765090557445393,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.02,5.55,12.393,0.0903,0.75,0.27,0.2,-0.18,5.55,12.393,123.93,1.759205007738454,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.0400000000000005,5.57,12.267,0.0881,0.74,0.22,0.2,-0.09,5.57,12.267,122.67,1.7590649342289917,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.06,5.59,11.974,0.0856,0.73,0.27,0.2,-0.18,5.59,11.974,119.74,1.763685457754823,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.0800000000000005,5.61,11.697,0.0834,0.72,0.27,0.2,-0.18,5.61,11.697,116.97,1.7680612103981386,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.1,5.63,11.318,0.0805,0.72,0.27,0.2,-0.18,5.63,11.318,113.18,1.7794250756815997,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.1200000000000006,5.65,10.818,0.0801,0.74,0.26,0.19,-0.18,5.65,10.818,108.18,1.8022484963572052,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.14,5.67,10.478,0.0834,0.8,0.21,0.2,-0.08,5.67,10.478,104.78,1.8338549161425657,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.1600000000000006,5.69,10.042,0.0856,0.85,0.27,0.2,-0.18,5.69,10.042,100.42,1.8645953292571504,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.18,5.71,9.559,0.0844,0.87,0.27,0.2,-0.18,5.71,9.559,95.59,1.8876853370541609,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.2000000000000006,5.73,9.173,0.0814,0.86,0.22,0.2,-0.08,5.73,9.173,91.73,1.8987860786903312,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.22,5.75,8.926,0.0755,0.82,0.26,0.19,-0.18,5.75,8.926,89.26,1.8957682771209452,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.2399999999999998,5.77,8.853,0.0691,0.76,0.26,0.19,-0.18,5.77,8.853,88.53,1.879107239920316,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.2600000000000002,5.79,8.95,0.0642,0.7,0.21,0.19,-0.09,5.79,8.95,89.5,1.8545336694003702,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.28,5.81,9.136,0.0635,0.68,0.22,0.2,-0.09,5.81,9.136,91.36,1.8399978773020806,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.3000000000000003,5.83,9.456,0.0641,0.66,0.27,0.2,-0.18,5.83,9.456,94.56,1.820319141922747,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.32,5.85,9.822,0.0612,0.61,0.26,0.19,-0.18,5.85,9.822,98.22,1.7873391185387708,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.3400000000000003,5.87,10.378,0.0572,0.56,0.26,0.19,-0.18,5.87,10.378,103.78,1.7467608670869907,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.36,5.89,10.918,0.0558,0.53,0.22,0.2,-0.11,5.89,10.918,109.18,1.7151883653730722,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.3800000000000003,5.91,11.158,0.0573,0.53,0.27,0.2,-0.18,5.91,11.158,111.58,1.7073129442171238,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.4,5.93,11.251,0.0618,0.56,0.27,0.2,-0.18,5.93,11.251,112.51,1.717674788866854,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
