top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.42,1.18,0.02,0.26,Clay & silt,0.24000000000000002,1,Clay & silt 1
1.18,-0.06000000000000005,0.26,1.5,Sand,1.24,1,Sand 1
-0.06000000000000005,-0.7600000000000002,1.5,2.2,Sand mixtures,0.7000000000000002,1,Sand mixtures 1
-0.7600000000000002,-1.88,2.2,3.32,Peat,1.1199999999999997,1,Peat 1
-1.88,-3.9200000000000004,3.32,5.36,Sand,2.0400000000000005,2,Sand 2
-3.9200000000000004,-4.32,5.36,5.76,Sand mixtures,0.39999999999999947,2,Sand mixtures 2
-4.32,-26.16,5.76,27.6,Sand,21.840000000000003,3,Sand 3
-26.16,-33.620000000000005,27.6,35.06,Sand,7.460000000000001,4,Sand 4
