elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
3.6500000000000004,0.01,0.01,0.0052,1.81,0.27,0.2,0.17,0.01,0.01,0.1,4.707911848221824,,,,"Soil, fine grain",,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.6300000000000003,0.03,0.173,0.0076,2.13,0.22,0.2,0.09,0.03,0.173,1.73,3.5837139098770243,,,,Clay & silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.6100000000000003,0.05,0.44,0.0093,2.12,0.22,0.2,0.09,0.05,0.44,4.4,3.221882115605312,,,,Clay & silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.5900000000000003,0.07,0.52,0.0112,2.12,0.22,0.2,0.09,0.07,0.52,5.2,3.1584255853296543,,,,Clay & silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.5700000000000003,0.09,0.65,0.0138,1.94,0.22,0.2,0.09,0.09,0.65,6.5,3.055090094757848,,,,Clay & silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.5500000000000003,0.11,0.846,0.0154,1.7,0.22,0.2,0.09,0.11,0.846,8.46,2.927245726665205,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.5300000000000002,0.13,1.056,0.0173,1.57,0.22,0.2,0.09,0.13,1.056,10.56,2.8265406508345072,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.5100000000000002,0.15,1.286,0.0198,1.5,0.22,0.2,0.09,0.15,1.286,12.86,2.7426727854419752,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.49,0.17,1.535,0.0223,1.45,0.22,0.2,0.09,0.17,1.535,15.35,2.669145648022623,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.47,0.19,1.785,0.0245,1.39,0.22,0.2,0.08,0.19,1.785,17.85,2.6036394394554496,,,,Silty clay / clayey silt,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.45,0.21,2.042,0.027,1.37,0.22,0.2,0.09,0.21,2.042,20.419999999999998,2.5506959664703377,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.43,0.23,2.252,0.0367,1.71,0.22,0.2,0.09,0.23,2.252,22.52,2.5680175887291012,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.41,0.25,2.395,0.0399,1.74,0.22,0.2,0.09,0.25,2.395,23.95,2.550334786800947,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.39,0.27,2.495,0.0382,1.59,0.22,0.2,0.09,0.27,2.495,24.95,2.5134451038111094,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.37,0.29,2.558,0.0386,1.6,0.22,0.2,0.09,0.29,2.558,25.58,2.5060670197231256,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.35,0.31,2.545,0.0388,1.58,0.22,0.2,0.09,0.31,2.545,25.45,2.504789980109699,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
3.33,0.33,2.505,0.0458,1.84,0.22,0.2,0.08,0.33,2.505,25.05,2.5484350856932836,,,,Sand mixtures,,,"Soil, fine grain 1",1,0.01,0.35,3.6500000000000004,3.31
