elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,u2_mpa,inclination_x_deg,inclination_y_deg,corrected_depth,col_9,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
-1.56,0.08,0.243,0.008,4.229,0.006,-0.165,-0.229,0.08,310.3,0.24552,2.4551999999999996,3.590885468097462,0.024437927663734118,,10.977371133950683,Organic clay,10.977371133950683,-8.522171133950684,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.58,0.1,0.284,0.01,3.841,0.006,-0.187,-0.267,0.1,311.0,0.28652,2.8651999999999997,3.5118733744603934,0.020242914979757085,,10.50582280032042,Organic clay,10.50582280032042,-7.64062280032042,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.6,0.12,0.329,0.009,2.91,0.006,-0.164,-0.218,0.12,311.8,0.33152000000000004,3.3152000000000004,3.3963198361141664,0.01689189189189189,,8.150234770187765,Organic clay,8.150234770187765,-4.8350347701877645,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.62,0.14,0.35,0.009,2.484,0.005,-0.151,-0.218,0.14,312.5,0.35209999999999997,3.5209999999999995,3.3398497260383757,0.012496449872195399,,,Clay & silt,,,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.64,0.16,0.417,0.009,2.252,0.005,-0.163,-0.236,0.16,313.3,0.4191,4.191,3.2530395069856475,0.010021474588403726,,,Clay & silt,,,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.66,0.18,0.484,0.01,1.957,0.005,-0.163,-0.203,0.18,314.0,0.4861,4.861,3.1672579769567766,0.008228759514503192,,,Clay & silt,,,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.68,0.2,0.55,0.01,1.78,0.005,-0.164,-0.227,0.2,314.7,0.5521,5.521,3.0990356814835893,0.006882811084948381,,,Clay & silt,,,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.7,0.22,0.633,0.01,1.417,0.005,-0.188,-0.211,0.22,315.5,0.6351,6.351,2.9990642643574525,0.005668398677373643,,,Clay & silt,,,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.72,0.24,0.815,0.011,1.12,0.005,-0.219,-0.194,0.24,316.2,0.8170999999999999,8.171,2.855323184492379,0.004161057398115287,,,Silty clay / clayey silt,,,Organic clay 1,1,0.08,0.26,-1.56,-1.74
-1.74,0.26,1.108,0.011,0.935,0.005,-0.232,-0.225,0.26,317.0,1.1101,11.101,2.7012777024657044,0.0028826231871002615,,,Silty clay / clayey silt,,,Sand mixtures 1,1,0.26,0.56,-1.74,-2.04
