soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
"Soil, fine grain 1",1.38,1.28,0.10000000000000009,0.19,14.0,14.0,1.0,0.0,17.5,0.0,below_range_clipped
Sand mixtures 1,1.28,0.98,0.2999999999999998,3.38,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 1,0.98,0.04,0.9400000000000002,12.18,17.7,19.7,36.54,0.0,31.8,1.8,interpolated
Sand mixtures 2,0.04,-0.92,0.9599999999999997,2.07,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Peat 1,-0.92,-1.62,0.7000000000000002,0.92,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Sand 2,-1.62,-3.94,2.32,13.32,17.8,19.8,39.95,0.0,32.1,2.1,interpolated
Sand mixtures 3,-3.94,-4.66,0.7200000000000002,3.25,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 3,-4.66,-10.24,5.58,12.5,17.7,19.7,37.49,0.0,31.9,1.9,interpolated
Sand 4,-10.24,-12.76,2.5199999999999996,16.66,18.2,20.2,52.89,0.0,33.3,3.3,interpolated
Sand 5,-12.76,-20.92,8.160000000000002,28.99,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 6,-20.92,-24.04,3.120000000000001,28.16,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
