soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Clay & silt 1,-1.57,-1.75,0.17999999999999994,0.34,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Sand mixtures 1,-1.75,-2.33,0.5799999999999998,3.74,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 2,-2.33,-2.71,0.38000000000000034,4.25,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 1,-2.71,-4.55,1.8399999999999999,7.58,17.3,19.3,22.75,0.0,30.6,0.6,interpolated
Organic clay 1,-4.55,-6.13,1.5799999999999992,0.48,15.3,15.3,1.42,0.5,15.0,0.0,interpolated
Peat 1,-6.13,-7.57,1.4400000000000013,0.56,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Clay & silt 2,-7.57,-8.81,1.2400000000000002,0.51,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Peat 2,-8.81,-9.53,0.7199999999999989,0.61,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Clay & silt 3,-9.53,-10.95,1.42,0.64,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Sand mixtures 3,-10.95,-11.45,0.5,1.96,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 4,-11.45,-12.67,1.2200000000000006,4.05,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 1,-12.67,-14.05,1.379999999999999,2.92,21.4,21.4,5.77,2.98,31.2,0.0,interpolated
Sand mixtures 5,-14.05,-14.77,0.7200000000000006,3.3,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 2,-14.77,-15.73,0.9599999999999991,1.14,19.1,19.1,2.14,0.14,28.9,0.0,interpolated
Clay & silt 4,-15.73,-17.71,1.9800000000000022,1.04,16.3,16.3,2.13,2.1,22.5,0.0,interpolated
Clay & silt 5,-17.71,-18.15,0.4399999999999977,0.92,15.8,15.8,1.91,1.38,22.5,0.0,interpolated
Silty clay / clayey silt 3,-18.15,-18.51,0.35999999999999943,1.26,19.3,19.3,2.26,0.26,29.1,0.0,interpolated
Sand 2,-18.51,-22.41,3.900000000000002,19.18,18.6,20.6,64.87,0.0,34.6,4.6,interpolated
Sand 3,-22.41,-23.41,1.0,29.69,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 4,-23.41,-25.19,1.7799999999999976,16.48,18.2,20.2,52.03,0.0,33.2,3.2,interpolated
Sand mixtures 6,-25.19,-25.67,0.4800000000000004,4.37,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 5,-25.67,-28.17,2.5,12.76,17.8,19.8,38.29,0.0,31.9,1.9,interpolated
Sand mixtures 7,-28.17,-28.47,0.3000000000000007,3.1,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand 6,-28.47,-33.91,5.440000000000005,16.46,18.2,20.2,51.94,0.0,33.2,3.2,interpolated
Sand 7,-33.91,-34.91,1.0,25.76,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 8,-34.91,-36.35,1.4399999999999977,23.53,19.3,21.3,85.51,0.0,36.8,6.8,interpolated
Silty clay / clayey silt 4,-36.35,-37.73,1.3800000000000026,6.27,21.5,21.5,6.0,3.15,31.2,0.0,above_range_clipped
Sand 9,-37.73,-39.71,1.9799999999999969,26.48,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 10,-39.71,-40.17,0.46000000000000085,14.83,18.0,20.0,44.5,0.0,32.5,2.5,interpolated
Sand mixtures 8,-40.17,-40.51,0.3400000000000034,6.63,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Sand mixtures 9,-40.51,-41.17,0.6599999999999966,3.78,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 5,-41.17,-41.63,0.46000000000000085,3.82,21.5,21.5,6.0,3.15,31.2,0.0,above_range_clipped
