index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,Organic clay 1,1.48,1.3,1.55,15.5,15.5,1.5,0.5,15.0,0.0,above_range_clipped
2,Sand 1,1.3,-1.02,7.24,17.2,19.2,21.72,0.0,30.6,0.6,interpolated
3,Peat 1,-1.02,-2.02,1.01,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
4,Sand 2,-2.02,-33.6,21.0,18.9,20.9,73.51,0.0,35.5,5.5,interpolated
