elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.46,0.02,0.47966,0.0037431,0.27586,0.27586,0.0,1.2,0.39964,54.0,0.02,0.47966,4.7966,2.907581776653883,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.44,0.04,0.66268,0.0041862,0.29358,0.2931,-0.016667,1.5,0.3812,55.0,0.04,0.66268,6.6268,2.7672074695309337,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.42,0.06,0.96565,0.0048871,0.28036,0.27586,0.05,1.75,0.38582,56.0,0.059999,0.96565,9.6565,2.6127336726622414,,,,Silty clay / clayey silt,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.4,0.08,1.1277,0.0061065,0.19931,0.17241,0.1,1.75,0.42372,57.0,0.079999,1.1277,11.276999999999997,2.5618998132419066,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.38,0.1,1.4473,0.0069453,0.15099,-0.017241,0.15,1.9,0.4005,58.0,0.099999,1.4473,14.472999999999999,2.451569836177723,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.3599999999999999,0.12,1.9059,0.0081878,0.20074,-0.017241,0.2,2.15,0.40403,59.0,0.12,1.9059,19.058999999999997,2.340645421366807,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.3399999999999999,0.14,2.2778,0.0096582,0.19049,0.051724,0.18333,2.35,0.42069,60.0,0.14,2.2778,22.778000000000002,2.274832425562792,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.32,0.16,2.6625,0.0101,0.20295,0.034483,0.2,2.4,0.39457,61.0,0.16,2.6625,26.625,2.201567404581345,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.3,0.18,2.8235,0.0106,0.18655,0.034483,0.18333,2.45,0.37898,62.0,0.18,2.8235,28.235,2.1714064386036043,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.28,0.2,3.0019,0.011038,0.20074,0.017241,0.2,2.45,0.36919,63.0,0.2,3.0019,30.019000000000002,2.1424827354249696,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.26,0.22,3.1195,0.012433,0.21667,0.0,0.21667,2.45,0.39391,63.0,0.22,3.1195,31.195,2.1375482227419713,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.24,0.24,3.2396,0.013071,0.21156,0.068966,0.2,2.45,0.39573,64.0,0.24,3.2396,32.396,2.123161575561224,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.22,0.26,3.3447,0.014242,0.10869,0.10345,-0.033333,2.3,0.41161,88.0,0.26,3.3447,33.446999999999996,2.1170481259201672,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.2,0.28,3.4482,0.015605,0.10869,0.10345,-0.033333,2.45,0.42915,89.0,0.28,3.4482,34.482,2.112141390874773,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.18,0.3,3.6097,0.016558,0.13793,0.13793,0.0,2.4,0.4309,90.0,0.3,3.6097,36.097,2.0946899414549045,,,,Sand mixtures,,,Silty clay / clayey silt 1,1,0.02,0.32,1.46,1.16
1.16,0.32,3.8373,0.017646,0.13793,0.13793,0.0,2.45,0.43411,90.0,0.32,3.8373,38.373,2.0718050724024866,,,,Sand mixtures,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.14,0.34,4.0805,0.019006,0.1532,0.13793,-0.066667,2.3,0.43947,91.0,0.34,4.0805,40.805,2.0497789123646077,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.12,0.36,4.4113,0.020819,0.17322,0.17241,-0.016667,2.4,0.44434,92.0,0.36,4.4113,44.113,2.0211722227434534,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.1,0.38,4.77,0.028482,0.17952,0.17241,-0.05,2.45,0.5595,93.0,0.38,4.77,47.7,2.0361835413621585,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.08,0.4,5.0179,0.031434,0.16303,0.15517,-0.05,2.4,0.56927,94.0,0.4,5.0179,50.178999999999995,2.020469788508852,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.06,0.42,5.4235,0.035418,0.19256,0.18966,-0.033333,2.45,0.59286,94.0,0.42,5.4235,54.235,1.99966975375251,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.04,0.44,6.3324,0.041093,0.10478,0.10345,-0.016667,2.4,0.62953,105.0,0.44,6.3324,63.324,1.9550086163810483,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.02,0.46,6.8517,0.046071,0.061535,0.051724,-0.033333,2.4,0.64672,105.0,0.46,6.8517,68.517,1.9320950137892638,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
1.0,0.48,7.2869,0.050307,0.085098,-0.017241,-0.083333,2.35,0.65562,106.0,0.48,7.2869,72.869,1.9127379300560596,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.98,0.5,7.6986,0.052694,0.038299,0.034483,-0.016667,2.4,0.64607,107.0,0.5,7.6986,76.98599999999999,1.889239987845753,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.96,0.52,8.8389,0.054648,0.06886,0.017241,-0.066667,2.4,0.64219,108.0,0.52,8.8389,88.38900000000001,1.837785278824212,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.94,0.54,9.5401,0.058266,0.085098,-0.017241,-0.083333,2.4,0.66162,109.0,0.54,9.5401,95.40100000000001,1.8177730297404904,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.9199999999999999,0.56,9.4135,0.060979,0.090186,-0.034483,-0.083333,2.45,0.67206,110.0,0.56,9.4135,94.135,1.8264239125509854,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.9,0.58,9.2868,0.065558,0.10578,-0.034483,-0.1,2.4,0.70404,110.0,0.58,9.2868,92.868,1.8428701374665197,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.88,0.6,9.1601,0.064551,0.10148,-0.017241,-0.1,2.35,0.68386,111.0,0.6,9.1601,91.601,1.8404675381926798,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.86,0.62,9.2283,0.065084,0.10578,-0.034483,-0.1,2.4,0.6833,112.0,0.62,9.2283,92.28300000000002,1.8376245354285075,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.84,0.64,9.4217,0.06371,0.085098,-0.017241,-0.083333,2.4,0.65477,113.0,0.64,9.4217,94.21699999999998,1.8196453449439338,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.82,0.66,9.6039,0.062748,0.085098,-0.017241,-0.083333,2.4,0.62255,114.0,0.66,9.6039,96.039,1.8003781378824806,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.7999999999999999,0.68,9.8587,0.061886,0.075057,-0.034483,-0.066667,2.4,0.58481,115.0,0.68,9.8587,98.587,1.7757552247561181,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.78,0.7,10.227,0.061282,0.1,0.0,-0.1,2.4,0.54767,115.0,0.7,10.227,102.27,1.7467380276864577,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.76,0.72,11.054,0.064119,0.090186,-0.034483,-0.083333,2.35,0.5388,116.0,0.72,11.054,110.54,1.7146606613843882,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.74,0.74,12.081,0.067255,0.098081,-0.051724,-0.083333,2.4,0.52957,117.0,0.74,12.081,120.81,1.6784664847853212,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.72,0.76,13.184,0.069762,0.10578,-0.034483,-0.1,2.4,0.51485,118.0,0.76,13.184,131.84,1.6402443525428496,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.7,0.78,14.087,0.072145,0.098081,-0.051724,-0.083333,2.4,0.50024,119.0,0.78,14.087,140.87,1.6094749072902104,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.6799999999999999,0.8,15.106,0.082458,0.084379,-0.051724,-0.066667,2.35,0.54041,120.0,0.8,15.106,151.06,1.6043618347423863,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.66,0.82,16.001,0.087558,0.10578,-0.034483,-0.1,2.35,0.54736,121.0,0.82,16.001,160.01000000000002,1.5876620396275365,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
0.64,0.84,16.658,0.091549,0.085184,-0.068966,-0.05,2.35,0.55127,121.0,0.84,16.658,166.58,1.5756480951881264,,,,Sand,,,Sand 1,1,0.32,1.76,1.16,-0.28
