index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,"Soil, fine grain 1",3.65,3.31,1.48,18.2,18.2,4.38,9.28,19.3,0.0,interpolated
2,Sand mixtures 1,3.31,2.57,2.91,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
3,Sand 1,2.57,1.75,8.19,17.3,19.3,24.58,0.0,30.8,0.8,interpolated
4,Sand mixtures 2,1.75,0.53,2.54,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
5,Sand 2,0.53,-5.35,13.64,17.9,19.9,40.91,0.0,32.2,2.2,interpolated
6,Sand mixtures 3,-5.35,-7.33,3.46,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
7,Sand 3,-7.33,-8.19,8.15,17.3,19.3,24.44,0.0,30.8,0.8,interpolated
8,Sand mixtures 4,-8.19,-8.89,4.45,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
9,Sand 4,-8.89,-11.25,32.59,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
