layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
Organic clay 1,1.48,1.3,Organic clay
Sand 1,1.3,-1.02,Sand
Peat 1,-1.02,-2.02,Peat
Sand 2,-2.02,-33.6,Sand
