top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.46,1.3399999999999999,0.02,0.14,Clay & silt,0.12000000000000001,1,Clay & silt 1
1.3399999999999999,1.04,0.14,0.44,Sand mixtures,0.3,1,Sand mixtures 1
1.04,0.08000000000000007,0.44,1.4,Sand,0.96,1,Sand 1
0.08000000000000007,-0.6800000000000002,1.4,2.16,Sand mixtures,0.7600000000000002,2,Sand mixtures 2
-0.6800000000000002,-1.7999999999999998,2.16,3.28,Peat,1.1199999999999997,1,Peat 1
-1.7999999999999998,-3.5799999999999996,3.28,5.06,Sand,1.7799999999999998,2,Sand 2
-3.5799999999999996,-4.699999999999999,5.06,6.18,Sand mixtures,1.12,3,Sand mixtures 3
-4.699999999999999,-22.64,6.18,24.12,Sand,17.94,3,Sand 3
-22.64,-23.56,24.12,25.04,Sand mixtures,0.9199999999999982,4,Sand mixtures 4
