selected_layer_name,selected_layer_top_z_m_nap,selected_layer_bottom_z_m_nap,selected_layer_gamma_kN_m3,z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
Sand 1,-2.04,-4.46,19.7,-2.8200000000000003,1.34,13.428,13428.0,13428.839999999998,24.234000000000005,11.634,87.0,1152.1923671995871,1.2859705550758935
Sand 1,-2.04,-4.46,19.7,-2.84,1.36,13.119,13119.0,13119.84,24.627999999999997,11.827999999999998,87.0,1107.1366249577277,1.2725364122979648
Sand 1,-2.04,-4.46,19.7,-2.86,1.38,12.79,12790.0,12790.84,25.022,12.021999999999998,86.0,1061.8714024288804,1.2582850712386915
Sand 1,-2.04,-4.46,19.7,-2.88,1.4,12.451,12451.0,12451.84,25.415999999999997,12.215999999999998,86.0,1017.2252783235105,1.2434853951245322
Sand 1,-2.04,-4.46,19.7,-2.9,1.42,12.115,12115.0,12115.84,25.809999999999995,12.409999999999998,85.0,974.2167606768737,1.2285383395573586
Sand 1,-2.04,-4.46,19.7,-2.92,1.44,11.745,11745.0,11745.84,26.204,12.603999999999997,83.0,929.8346556648685,1.2121283272209293
Sand 1,-2.04,-4.46,19.7,-2.94,1.46,11.396,11396.0,11396.839999999998,26.598,12.797999999999998,82.0,888.4389748398187,1.1961257221887938
Sand 1,-2.04,-4.46,19.7,-2.96,1.48,11.097,11097.0,11097.84,26.991999999999997,12.991999999999999,80.0,852.128078817734,1.1816600391168581
Sand 1,-2.04,-4.46,19.7,-2.98,1.5,10.832,10832.0,10832.839999999998,27.385999999999996,13.185999999999998,79.0,819.4641286212649,1.168248371960016
Sand 1,-2.04,-4.46,19.7,-3.0,1.52,10.603,10603.0,10603.84,27.78,13.379999999999999,76.0,790.4379671150972,1.15604891016284
Sand 1,-2.04,-4.46,19.7,-3.02,1.54,10.459,10459.0,10459.84,28.174,13.573999999999998,72.0,768.5034625018418,1.1470897993158082
Sand 1,-2.04,-4.46,19.7,-3.04,1.56,10.338,10338.0,10338.84,28.567999999999998,13.767999999999999,68.0,748.8576409064499,1.1390228290487947
Sand 1,-2.04,-4.46,19.7,-3.06,1.58,10.009,10009.0,10009.84,28.962000000000003,13.962,64.0,714.8601919495775,1.1224097582652262
Sand 1,-2.04,-4.46,19.7,-3.08,1.6,9.809,9809.0,9809.84,29.356,14.155999999999999,61.0,690.90731845154,1.1108853094814266
Sand 1,-2.04,-4.46,19.7,-3.1,1.62,9.541,9541.0,9541.84,29.75,14.35,58.0,662.8634146341464,1.0962843598300585
Sand 1,-2.04,-4.46,19.7,-3.12,1.64,9.348,9348.0,9348.839999999998,30.144,14.543999999999999,57.0,640.7244224422442,1.0847401222909223
Sand 1,-2.04,-4.46,19.7,-3.14,1.66,9.179,9179.0,9179.84,30.538000000000004,14.738,56.0,620.7967159723164,1.0741459270046219
Sand 1,-2.04,-4.46,19.7,-3.16,1.68,9.056,9056.0,9057.26,30.932000000000002,14.932,54.0,604.4955799624965,1.0655636458572078
Sand 1,-2.04,-4.46,19.7,-3.18,1.7,9.543,9543.0,9544.26,31.326,15.126,54.0,628.9127330424436,1.0843523072532508
Sand 1,-2.04,-4.46,19.7,-3.2,1.72,10.303,10303.0,10304.259999999998,31.72,15.32,55.0,670.5313315926892,1.113239439097475
Sand 1,-2.04,-4.46,19.7,-3.22,1.74,10.96,10960.0,10960.84,32.114000000000004,15.514000000000001,54.0,704.4428258347299,1.1360179219983089
Sand 1,-2.04,-4.46,19.7,-3.24,1.76,11.745,11745.0,11745.84,32.508,15.708,58.0,745.6921313980138,1.161885276577193
Sand 1,-2.04,-4.46,19.7,-3.26,1.78,12.603,12603.0,12603.84,32.901999999999994,15.901999999999996,64.0,790.5255942648726,1.1883401105292835
Sand 1,-2.04,-4.46,19.7,-3.28,1.8,13.485,13485.0,13485.42,33.29599999999999,16.095999999999997,65.0,835.7432902584495,1.2136404537638967
Sand 1,-2.04,-4.46,19.7,-3.3,1.82,14.227,14227.0,14226.58,33.69,16.29,73.0,871.2639656230816,1.2331318501515287
Sand 1,-2.04,-4.46,19.7,-3.3200000000000003,1.84,14.89,14890.0,14888.74,34.084,16.484,79.0,901.1560300897838,1.2493297522479803
Sand 1,-2.04,-4.46,19.7,-3.34,1.86,15.536,15536.0,15534.32,34.477999999999994,16.677999999999997,81.0,929.3585561817965,1.2642819991979921
Sand 1,-2.04,-4.46,19.7,-3.36,1.88,15.996,15996.0,15994.32,34.87199999999999,16.871999999999996,84.0,945.9132290184924,1.273750070900971
Sand 1,-2.04,-4.46,19.7,-3.38,1.9,16.416,16416.0,16414.32,35.266,17.065999999999995,88.0,959.7476854564634,1.2818952047963783
Sand 1,-2.04,-4.46,19.7,-3.4,1.92,16.841,16841.0,16838.9,35.66,17.259999999999998,90.0,973.5365005793744,1.2899213427374858
Sand 1,-2.04,-4.46,19.7,-3.42,1.94,17.5,17500.0,17497.48,36.053999999999995,17.453999999999997,90.0,1000.4254612123297,1.3032977127616934
Sand 1,-2.04,-4.46,19.7,-3.44,1.96,18.367,18367.0,18364.48,36.448,17.647999999999996,90.0,1038.53309156845,1.3208392926967203
Sand 1,-2.04,-4.46,19.7,-3.46,1.98,19.114,19114.0,19111.48,36.842,17.842,89.0,1069.0863131935882,1.3348859538620088
Sand 1,-2.04,-4.46,19.7,-3.48,2.0,19.434,19434.0,19431.48,37.236,18.035999999999998,89.0,1075.307385229541,1.3393071430471848
Sand 1,-2.04,-4.46,19.7,-3.5,2.02,19.445,19445.0,19443.32,37.629999999999995,18.229999999999997,91.0,1064.4920460778937,1.3371002977019606
Sand 1,-2.04,-4.46,19.7,-3.52,2.04,19.456,19456.0,19454.74,38.024,18.424,94.0,1053.8816760746852,1.3349191659885784
Sand 1,-2.04,-4.46,19.7,-3.54,2.06,19.466,19466.0,19465.16,38.418,18.618,98.0,1043.4387152218283,1.3327418911021853
Sand 1,-2.04,-4.46,19.7,-3.56,2.08,19.477,19477.0,19477.0,38.812,18.811999999999998,100.0,1033.2866255581544,1.3306105915502284
Sand 1,-2.04,-4.46,19.7,-3.58,2.1,19.566,19566.0,19566.0,39.206,19.006,103.0,1027.4015574029254,1.33016088976558
Sand 1,-2.04,-4.46,19.7,-3.6,2.12,19.687,19687.0,19687.0,39.6,19.2,105.0,1023.3020833333335,1.3304013857274788
Sand 1,-2.04,-4.46,19.7,-3.62,2.14,19.605,19605.0,19604.579999999998,39.994,19.394,110.0,1008.795813138084,1.3263751254949496
Sand 1,-2.04,-4.46,19.7,-3.64,2.16,19.501,19501.0,19500.16,40.388,19.588,114.0,993.4537471921584,1.3218965959866777
Sand 1,-2.04,-4.46,19.7,-3.66,2.18,19.465,19465.0,19464.16,40.782000000000004,19.782,117.0,981.8712971388131,1.318880753681137
Sand 1,-2.04,-4.46,19.7,-3.68,2.2,19.541,19541.0,19540.16,41.176,19.976,116.0,976.1205446535844,1.3182705153004255
Sand 1,-2.04,-4.46,19.7,-3.7,2.22,19.351,19351.0,19350.16,41.57,20.17,117.0,957.29251363411,1.3120106131865032
Sand 1,-2.04,-4.46,19.7,-3.72,2.24,19.094,19094.0,19093.16,41.964000000000006,20.363999999999997,118.0,935.5330976232568,1.3042783707002576
Sand 1,-2.04,-4.46,19.7,-3.74,2.26,18.992,18992.0,18991.16,42.358000000000004,20.558,120.0,921.7240003891429,1.2998920015461572
Sand 1,-2.04,-4.46,19.7,-3.76,2.28,18.971,18971.0,18970.16,42.751999999999995,20.751999999999995,119.0,912.0763299922901,1.2972894298085016
Sand 1,-2.04,-4.46,19.7,-3.78,2.3,18.849,18849.0,18848.16,43.145999999999994,20.945999999999998,119.0,897.7854482956174,1.2924888390787235
Sand 1,-2.04,-4.46,19.7,-3.8,2.32,18.617,18617.0,18616.16,43.54,21.139999999999993,118.0,878.5534531693474,1.285245965220099
Sand 1,-2.04,-4.46,19.7,-3.82,2.34,18.27,18270.0,18269.16,43.934,21.333999999999996,115.0,854.2807724758602,1.275354240544371
Sand 1,-2.04,-4.46,19.7,-3.84,2.36,17.768,17768.0,17767.58,44.327999999999996,21.528,114.0,823.2651430694909,1.261727648482333
Sand 1,-2.04,-4.46,19.7,-3.86,2.38,17.282,17282.0,17281.58,44.721999999999994,21.721999999999994,114.0,793.5207623607405,1.2481725753241584
Sand 1,-2.04,-4.46,19.7,-3.88,2.4,16.692,16692.0,16691.58,45.116,21.915999999999997,115.0,759.5575835006389,1.2317301686063244
Sand 1,-2.04,-4.46,19.7,-3.9,2.42,15.817,15817.0,15816.58,45.51,22.11,116.0,713.3003165988241,1.2073768827539564
Sand 1,-2.04,-4.46,19.7,-3.92,2.44,15.031,15031.0,15030.16,45.903999999999996,22.303999999999995,115.0,671.8192252510762,1.184233564218654
Sand 1,-2.04,-4.46,19.7,-3.94,2.46,13.883,13883.0,13882.16,46.298,22.497999999999998,116.0,614.9818650546715,1.149290462523919
Sand 1,-2.04,-4.46,19.7,-3.96,2.48,12.626,12626.0,12625.16,46.692,22.692,112.0,554.3128855984488,1.107950544346011
Sand 1,-2.04,-4.46,19.7,-3.98,2.5,11.067,11067.0,11066.58,47.086,22.885999999999996,108.0,481.494975093944,1.05132291596429
