z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-18.78,17.3,6.563,6563.0,6629.78,296.68600000000004,124.48599999999999,67.0,50.87394566457273,0.3812533678149057
-18.8,17.32,7.906,7906.0,7972.36,297.0957147950089,124.6957147950089,70.0,61.55194906114129,0.41935988315915584
-18.82,17.34,9.103,9103.0,9167.26,297.50542959001785,124.9054295900178,75.0,71.01176145443429,0.4504339541072247
-18.84,17.36,9.831,9831.0,9894.84,297.91514438502674,125.11514438502671,80.0,76.70474188225847,0.4681414373646936
-18.86,17.38,10.406,10406.0,10470.68,298.3248591800357,125.32485918003562,83.0,81.16789603734445,0.48156855627461054
-18.88,17.4,10.93,10930.0,10995.1,298.73457397504455,125.53457397504454,85.0,85.20652986125818,0.4934037172286234
-18.9,17.42,11.406,11406.0,11471.1,299.14428877005344,125.74428877005344,88.0,88.84662532594162,0.5038328104949714
-18.92,17.44,11.931,11931.0,11996.099999999999,299.55400356506243,125.95400356506238,91.0,92.86363009805406,0.5150967456925073
-18.94,17.46,12.367,12367.0,12432.52,299.9637183600713,126.16371836007129,96.0,96.16517679840102,0.5241732995827157
-18.96,17.48,12.779,12779.0,12844.519999999999,300.37343315508025,126.3734331550802,101.0,99.26252894824235,0.5325478622306231
-18.98,17.5,13.147,13147.0,13212.52,300.78314795008913,126.58314795008911,106.0,102.00202049913408,0.5398465932866857
-19.0,17.52,13.455,13455.0,13520.519999999999,301.19286274509807,126.79286274509802,110.0,104.259237082065,0.5457870780077023
-19.02,17.54,13.726,13726.0,13791.52,301.60257754010695,127.00257754010693,116.0,106.21766647373617,0.5508893237918281
-19.04,17.56,13.927,13927.0,13992.52,302.01229233511583,127.21229233511583,122.0,107.61937747022063,0.5545123403759395
-19.06,17.58,14.033,14033.0,14098.52,302.42200713012477,127.42200713012474,126.0,108.27092041315242,0.5561883555907308
-19.08,17.6,14.075,14075.0,14140.94,302.83172192513365,127.63172192513365,128.0,108.42217020461449,0.556576705545643
-19.1,17.62,14.161,14161.0,14226.94,303.24143672014264,127.8414367201426,130.0,108.91381480450815,0.5578371877285346
-19.12,17.64,14.493,14493.0,14558.94,303.6511515151515,128.0511515151515,129.0,111.32495631480602,0.5639781057422253
-19.14,17.66,15.023,15023.0,15088.52,304.06086631016046,128.26086631016042,126.0,115.2686673574936,0.5738806928211114
-19.16,17.68,15.642,15642.0,15707.94,304.47058110516934,128.47058110516932,123.0,119.89880707619089,0.5852931062448014
-19.18,17.7,16.333,16332.999999999998,16398.94,304.8802959001783,128.68029590017824,121.0,125.07011731294541,0.5977818936056036
-19.2,17.72,17.449,17449.0,17514.940000000002,305.29001069518716,128.89001069518713,122.0,133.52198433751423,0.6176498877369518
-19.22,17.74,18.513,18513.0,18579.36,305.69972549019604,129.09972549019605,123.0,141.54685616196392,0.6359399256487853
-19.24,17.76,19.26,19260.0,19326.36,306.109440285205,129.30944028520494,124.0,147.0909665818963,0.648274559519116
-19.26,17.78,19.543,19543.0,19609.36,306.5191550802139,129.5191550802139,126.0,149.03464150121374,0.6525436854587126
-19.28,17.8,19.614,19614.0,19680.36,306.92886987522286,129.7288698752228,128.0,149.33785477942368,0.6532071532707427
-19.3,17.82,19.87,19870.0,19936.36,307.33858467023174,129.9385846702317,130.0,151.06383885237653,0.6569710557929073
-19.32,17.84,20.343,20343.0,20409.780000000002,307.7482994652407,130.14829946524063,130.0,154.4548164142822,0.6643037524125374
-19.34,17.86,20.654,20654.0,20720.36,308.15801426024956,130.35801426024952,129.0,156.58570822495344,0.6688704940312297
-19.36,17.88,20.83,20830.0,20896.36,308.56772905525844,130.56772905525844,123.0,157.6790254369182,0.6712015354931317
-19.38,17.9,21.034,21034.0,21099.94,308.9774438502674,130.77744385026733,116.0,158.97972879753019,0.6739642398260993
-19.4,17.92,21.235,21235.0,21301.780000000002,309.38715864527626,130.98715864527625,109.0,160.26298347461534,0.6766788296517787
-19.42,17.94,21.441,21441.0,21507.78,309.79687344028525,131.1968734402852,102.0,161.573843725842,0.6794406180840278
-19.44,17.96,21.61,21610.0,21676.780000000002,310.20658823529413,131.4065882352941,106.0,162.59895107775066,0.6815925701258165
-19.46,17.98,21.724,21724.0,21790.780000000002,310.6163030303031,131.61630303030302,109.0,163.20291029618238,0.682857254056559
-19.48,18.0,21.838,21838.0,21904.78,311.02601782531195,131.82601782531194,110.0,163.80494790329976,0.6841155873582846
-19.5,18.02,21.953,21953.0,22019.780000000002,311.4357326203209,132.03573262032083,110.0,164.4126467628558,0.6853834104517303
-19.52,18.04,22.242,22242.0,22308.78,311.8454474153298,132.24544741532975,113.0,166.33415351910867,0.6893768480490368
-19.54,18.06,22.605,22605.0,22672.2,312.25516221033865,132.45516221033864,118.0,168.81142618120157,0.6944914402047867
-19.56,18.08,22.901,22901.0,22968.620000000003,312.6648770053476,132.66487700534756,121.0,170.77583482839563,0.6985205484826906
-19.58,18.1,23.086,23086.0,23153.62,313.0745918003565,132.87459180035646,124.0,171.89550762660082,0.700806693596949
-19.6,18.12,23.176,23176.0,23243.2,313.48430659536547,133.0843065953654,126.0,172.29466253388551,0.7016198859657058
-19.62,18.14,23.23,23230.0,23296.78,313.89402139037435,133.29402139037433,128.0,172.42248181034554,0.7018800911233151
-19.64,18.16,23.282,23282.0,23349.2,314.3037361853833,133.50373618538322,130.0,172.5412106207153,0.7021217041850779
-19.66,18.18,23.412,23412.0,23479.62,314.71345098039217,133.71345098039214,132.0,173.24290397991845,0.7035479554777413
-19.68,18.2,23.616,23616.0,23683.620000000003,315.12316577540105,133.92316577540103,134.0,174.49181923772088,0.7060793545805718
-19.7,18.22,23.747,23747.0,23814.2,315.53288057041,134.13288057040995,136.0,175.1894615212898,0.7074894477179546
-19.72,18.24,23.894,23894.0,23961.62,315.94259536541887,134.34259536541884,136.0,176.01027686205637,0.709144911368728
-19.74,18.26,23.997,23997.0,24064.620000000003,316.3523101604278,134.55231016042777,137.0,176.49840171100985,0.7101275573766606
-19.76,18.28,24.061,24061.0,24128.620000000003,316.76202495543674,134.76202495543671,138.0,176.69560829854478,0.7105241692853941
-19.78,18.3,24.123,24123.0,24191.04,317.1717397504457,134.97173975044564,137.0,176.88049590522323,0.7108958049134169
-19.8,18.32,24.216,24216.0,24284.04,317.58145454545456,135.18145454545453,137.0,177.29102432017305,0.7117202988336943
-19.82,18.34,24.276,24276.0,24344.04,317.9911693404635,135.39116934046345,137.0,177.45654275458742,0.7120524514279376
-19.84,18.36,24.338,24338.0,24406.460000000003,318.4008841354724,135.60088413547234,137.0,177.6393957121939,0.7124192098801577
-19.86,18.38,24.453,24453.0,24521.460000000003,318.81059893048126,135.81059893048126,135.0,178.20884078022786,0.7135601702133723
-19.88,18.4,24.6,24600.0,24668.88,319.2203137254902,136.02031372549015,134.0,179.01487667067036,0.7151720605573986
-19.9,18.42,24.658,24658.0,24727.3,319.6300285204991,136.23002852049908,135.0,179.16512414006272,0.7154721201318004
-19.92,18.44,24.563,24563.0,24632.3,320.0397433155081,136.43974331550803,135.0,178.19045731025724,0.713523364939804
-19.94,18.46,24.336,24336.0,24404.879999999997,320.44945811051696,136.64945811051692,135.0,176.24973325844368,0.7096271319874236
-19.96,18.48,24.291,24291.0,24360.3,320.8591729055259,136.85917290552584,134.0,175.65092873744712,0.7084206352109642
-19.98,18.5,24.291,24291.0,24360.3,321.2688877005348,137.06888770053473,133.0,175.37919447350768,0.7078724551650887
-20.0,18.52,24.191,24191.0,24257.78,321.67860249554366,137.27860249554365,134.0,174.36148796955788,0.7058156132539308
-20.02,18.54,23.928,23928.0,23990.58,322.0883172905526,137.48831729055254,132.0,172.14911164190835,0.70132346651967
-20.04,18.56,23.61,23610.0,23670.48,322.4980320855615,137.69803208556147,133.0,169.55930026223393,0.6960281198388343
-20.06,18.58,23.359,23359.0,23421.579999999998,322.9077468805704,137.9077468805704,133.0,167.49365264536684,0.6917754644915334
-20.08,18.6,23.073,23073.0,23138.100000000002,323.3174616755793,138.11746167557928,133.0,165.18391129945255,0.6869891063795336
-20.1,18.62,22.653,22653.0,22719.36,323.7271764705883,138.32717647058823,133.0,161.90334679672492,0.6801330684857085
-20.12,18.64,22.161,22161.0,22228.2,324.13689126559717,138.53689126559715,131.0,158.10996557401342,0.67211811371432
-20.14,18.66,21.733,21733.0,21801.04,324.5466060606061,138.74660606060604,129.0,154.78932424882686,0.6650227155063994
-20.16,18.68,21.363,21363.0,21431.04,324.956320855615,138.95632085561496,127.0,151.8900583232557,0.6587652049169734
-20.18,18.7,21.041,21041.0,21109.88,325.36603565062387,139.16603565062385,125.0,149.35047813339222,0.6532347601051953
-20.2,18.72,20.684,20684.0,20753.3,325.7757504456328,139.37575044563278,123.0,146.56440725334548,0.6471131657564021
-20.22,18.74,20.432,20432.0,20501.719999999998,326.1854652406417,139.58546524064167,122.0,144.53893533955895,0.6426261640210847
-20.24,18.76,20.206,20206.0,20275.72,326.5951800356506,139.7951800356506,121.0,142.70252246806308,0.6385307296958342
-20.26,18.78,19.972,19972.0,20042.14,327.00489483065957,140.00489483065954,121.0,140.81747019642015,0.6342993214032544
-20.28,18.8,19.629,19629.0,19699.14,327.4146096256685,140.21460962566843,120.0,138.15768158604237,0.6282803777796806
-20.3,18.82,19.286,19286.0,19356.14,327.8243244206774,140.42432442067735,119.0,135.50583742582293,0.6222214521393097
-20.32,18.84,18.995,18995.0,19065.14,328.23403921568627,140.63403921568624,118.0,133.23165618565557,0.6169780180980184
