layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
Clay & silt 1,1.43,1.1099999999999999,Clay & silt
Sand 1,1.1099999999999999,-2.2300000000000004,Sand
Sand 2,-2.2300000000000004,-4.59,Sand
Sand 3,-4.59,-33.589999999999996,Sand
