layer_id,top_elevation_m_nap,bottom_elevation_m_nap,soil_type
Clay & silt 1,1.44,1.2,Clay & silt
Sand 1,1.2,0.58,Sand
Sand mixtures 1,0.58,-0.21999999999999997,Sand mixtures
Sand 2,-0.21999999999999997,-2.4,Sand
Sand 3,-2.4,-4.72,Sand
Sand mixtures 2,-4.72,-5.76,Sand mixtures
Sand 4,-5.76,-33.74,Sand
