elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
0.86,0.6,8.2,0.062,0.8,-0.2,-0.8,2.4,0.76319,60.0,0.59986,8.2,82.0,1.9072268175728082,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.84,0.62,8.08,0.061,1.1,-0.4,-1.0,2.3,0.76609,61.0,0.61986,8.08,80.8,1.913404588045159,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.82,0.64,7.87,0.06,0.8,-0.2,-0.8,2.4,0.77208,62.0,0.63985,7.87,78.7,1.9247003194791983,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.7999999999999999,0.66,7.71,0.055,0.7,-0.4,-0.6,2.4,0.72763,63.0,0.65985,7.71,77.1,1.917354265937402,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.7799999999999999,0.68,7.5,0.049,0.4,-0.2,-0.4,2.4,0.66689,63.0,0.67985,7.5,75.0,1.9062735262800004,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.76,0.7,7.31,0.047,1.0,-0.2,-1.0,2.4,0.66058,64.0,0.69985,7.31,73.1,1.9133599432921664,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.74,0.72,7.06,0.046,0.6,0.0,-0.6,2.4,0.66921,65.0,0.71985,7.06,70.6,1.929112483922621,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.72,0.74,6.74,0.044,0.6,0.0,-0.6,2.4,0.66428,66.0,0.73985,6.74,67.4,1.944349071391345,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.7,0.76,6.51,0.042,0.8,0.0,-0.8,2.0,0.65882,67.0,0.75985,6.51,65.1,1.9551880609471266,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.6799999999999999,0.78,6.22,0.04,0.8,0.0,-0.8,2.2,0.65507,68.0,0.77984,6.22,62.2,1.970677775214735,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
0.6599999999999999,0.8,5.94,0.038,0.6,-0.2,-0.6,2.3,0.65082,69.0,0.79984,5.94,59.4,1.986248180995061,,,,Sand,,,Sand 1,1,0.26,0.88,1.2,0.58
