soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Clay & silt 1,-1.4,-1.82,0.41999999999999993,1.05,16.3,16.3,2.15,2.16,22.5,0.0,interpolated
Sand 1,-1.82,-3.8,1.9799999999999998,11.69,17.7,19.7,35.08,0.0,31.7,1.7,interpolated
Silty clay / clayey silt 1,-3.8,-4.26,0.45999999999999996,1.44,19.4,19.4,2.44,0.44,29.3,0.0,interpolated
Organic clay 1,-4.26,-5.3,1.04,0.59,15.5,15.5,1.5,0.5,15.0,0.0,above_range_clipped
Clay & silt 2,-5.3,-5.84,0.54,0.44,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Peat 1,-5.84,-6.96,1.12,0.56,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Clay & silt 3,-6.96,-7.46,0.5,0.51,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Clay & silt 4,-7.46,-8.2,0.7399999999999993,0.55,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Clay & silt 5,-8.2,-8.72,0.5200000000000014,0.59,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Peat 2,-8.72,-9.48,0.7599999999999998,0.69,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
Clay & silt 6,-9.48,-10.3,0.8200000000000003,0.6,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
Silty clay / clayey silt 2,-10.3,-11.3,1.0,1.28,19.3,19.3,2.28,0.28,29.1,0.0,interpolated
Sand 2,-11.3,-12.06,0.7599999999999998,5.23,17.0,19.0,15.7,0.0,30.1,0.1,interpolated
Sand mixtures 1,-12.06,-12.68,0.6199999999999992,3.93,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 3,-12.68,-13.74,1.0600000000000005,2.65,21.0,21.0,4.94,2.39,30.8,0.0,interpolated
Sand 3,-13.74,-14.04,0.3000000000000007,5.91,17.1,19.1,17.74,0.0,30.2,0.2,interpolated
Sand mixtures 2,-14.04,-14.9,0.8599999999999994,3.16,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
Silty clay / clayey silt 4,-14.9,-16.92,2.019999999999998,1.25,19.2,19.2,2.25,0.25,29.1,0.0,interpolated
Silty clay / clayey silt 5,-16.92,-17.44,0.5200000000000031,1.26,19.3,19.3,2.26,0.26,29.1,0.0,interpolated
Silty clay / clayey silt 6,-17.44,-18.46,1.0199999999999996,1.19,19.2,19.2,2.19,0.19,29.0,0.0,interpolated
Sand 4,-18.46,-21.74,3.280000000000001,19.07,18.6,20.6,64.32,0.0,34.5,4.5,interpolated
Sand 5,-21.74,-22.46,0.7199999999999989,33.72,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 6,-22.46,-30.06,7.599999999999998,19.6,18.7,20.7,66.87,0.0,34.8,4.8,interpolated
Sand 7,-30.06,-34.02,3.9600000000000044,16.56,18.2,20.2,52.42,0.0,33.3,3.3,interpolated
Sand 8,-34.02,-34.38,0.35999999999999943,33.77,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 9,-34.38,-36.84,2.460000000000001,25.57,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 10,-36.84,-38.42,1.5799999999999983,37.05,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand 11,-38.42,-39.42,1.0,29.76,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
Sand mixtures 3,-39.42,-41.4,1.9799999999999969,4.93,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
