index,soil_id,top_elevation_m_nap,bottom_elevation_m_nap,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
1,Clay & silt 1,-1.4,-1.82,1.05,16.3,16.3,2.15,2.16,22.5,0.0,interpolated
2,Sand 1,-1.82,-3.8,11.69,17.7,19.7,35.08,0.0,31.7,1.7,interpolated
3,Silty clay / clayey silt 1,-3.8,-4.26,1.44,19.4,19.4,2.44,0.44,29.3,0.0,interpolated
4,Organic clay 1,-4.26,-5.3,0.59,15.5,15.5,1.5,0.5,15.0,0.0,above_range_clipped
5,Clay & silt 2,-5.3,-5.84,0.44,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
6,Peat 1,-5.84,-6.96,0.56,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
7,Clay & silt 3 + Clay & silt 4 + Clay & silt 5,-6.96,-8.72,0.55,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
8,Peat 2,-8.72,-9.48,0.69,12.5,12.5,0.75,3.75,15.0,0.0,above_range_clipped
9,Clay & silt 6,-9.48,-10.3,0.6,15.0,15.0,1.5,0.0,22.5,0.0,below_range_clipped
10,Silty clay / clayey silt 2,-10.3,-11.3,1.28,19.3,19.3,2.28,0.28,29.1,0.0,interpolated
11,Sand 2,-11.3,-12.06,5.23,17.0,19.0,15.7,0.0,30.1,0.1,interpolated
12,Sand mixtures 1,-12.06,-12.68,3.93,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
13,Silty clay / clayey silt 3,-12.68,-13.74,2.65,21.0,21.0,4.94,2.39,30.8,0.0,interpolated
14,Sand 3,-13.74,-14.04,5.91,17.1,19.1,17.74,0.0,30.2,0.2,interpolated
15,Sand mixtures 2,-14.04,-14.9,3.16,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
16,Silty clay / clayey silt 4,-14.9,-16.92,1.25,19.2,19.2,2.25,0.25,29.1,0.0,interpolated
17,Silty clay / clayey silt 5,-16.92,-17.44,1.26,19.3,19.3,2.26,0.26,29.1,0.0,interpolated
18,Silty clay / clayey silt 6,-17.44,-18.46,1.19,19.2,19.2,2.19,0.19,29.0,0.0,interpolated
19,Sand 4,-18.46,-21.74,19.07,18.6,20.6,64.32,0.0,34.5,4.5,interpolated
20,Sand 5,-21.74,-22.46,33.72,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
21,Sand 6,-22.46,-30.06,19.6,18.7,20.7,66.87,0.0,34.8,4.8,interpolated
22,Sand 7,-30.06,-34.02,16.56,18.2,20.2,52.42,0.0,33.3,3.3,interpolated
23,Sand 8 + Sand 9 + Sand 10 + Sand 11,-34.02,-39.42,31.54,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
24,Sand mixtures 3,-39.42,-41.4,4.93,18.5,20.5,22.5,0.0,27.5,0.0,below_range_clipped
