soil_id,top_elevation_m_nap,bottom_elevation_m_nap,soil depth_m,qc_mpa_mean,gamma_unsat_kn_m3,gamma_sat_kn_m3,E100_mpa,c_prime_kpa,phi_prime_deg,dilatancy_deg,interpolation_status
Clay & silt 1,1.57,1.25,0.32000000000000006,2.2,19.7,19.7,6.14,11.27,24.2,0.0,interpolated
Sand 1,1.25,-1.61,2.8600000000000003,13.69,17.9,19.9,41.08,0.0,32.2,2.2,interpolated
Sand 2,-1.61,-4.13,2.5199999999999996,14.25,17.9,19.9,42.75,0.0,32.3,2.3,interpolated
Sand 3,-4.13,-6.93,2.8,8.06,17.3,19.3,24.18,0.0,30.8,0.8,interpolated
Sand 4,-6.93,-33.67,26.739999999999995,26.11,19.5,21.5,92.5,0.0,37.5,7.5,above_range_clipped
