elevation_m_nap,depth_m,qc_mpa,fs_mpa,col_4,col_5,col_6,col_7,rf_percent,col_9,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
1.54,0.02,0.13,0.002,2.5,-1.8,-1.8,0.0,0.46729,23.0,0.02,0.13,1.3,3.4719562699986724,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.52,0.04,0.24,0.002,2.5444,0.6,0.8,2.6,0.38217,24.0,0.03998,0.24,2.4,3.192242191749534,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.5,0.06,0.41,0.003,2.5889,-1.0,-0.6,2.5,0.47511,24.0,0.05996,0.41,4.1,2.994649207394852,,,,Clay & silt,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.48,0.08,0.58,0.003,2.6333,-0.8,-1.8,2.5,0.39474,25.0,0.079939,0.58,5.8,2.826994145388553,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.46,0.1,0.78,0.005,3.1667,-1.4,-1.6,2.5,0.51414,26.0,0.099908,0.78,7.8,2.7408956197322953,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.44,0.12,1.0,0.006,3.7,-2.3,-2.9,2.5,0.50314,27.0,0.11987,1.0,10.0,2.6363630872450328,,,,Silty clay / clayey silt,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.42,0.14,1.28,0.007,3.4667,-0.8,-1.8,2.5,0.49383,28.0,0.13983,1.28,12.8,2.5332588735770485,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.4000000000000001,0.16,1.66,0.008,3.2333,-2.0,-2.5,2.5,0.48595,28.0,0.1598,1.66,16.6,2.4256796820985165,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.3800000000000001,0.18,1.83,0.009,3.0,-0.8,0.0,2.5,0.48161,29.0,0.17977,1.83,18.3,2.3849803667007805,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.36,0.2,2.0,0.011,2.9556,-3.5,-2.5,2.5,0.52726,30.0,0.19974,2.0,20.0,2.3647075191671894,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.34,0.22,2.21,0.012,2.9111,-2.5,-0.6,2.5,0.52459,31.0,0.21972,2.21,22.1,2.324106248182289,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.32,0.24,2.41,0.013,2.8667,-1.6,-1.4,2.4,0.52738,31.0,0.23969,2.41,24.1,2.290691994456988,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.3,0.26,2.56,0.014,2.9,-2.3,-1.8,2.5,0.52805,32.0,0.25967,2.56,25.6,2.2670444823149496,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.28,0.28,2.74,0.015,2.8,-2.3,-1.6,2.5,0.52562,33.0,0.27964,2.74,27.4,2.23939754494795,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.26,0.3,2.89,0.017,3.0333,-1.6,-1.2,2.5,0.55083,34.0,0.29962,2.89,28.9,2.227116134722837,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
1.24,0.32,3.08,0.018,3.2667,-2.5,-2.1,2.5,0.53912,35.0,0.31958,3.08,30.8,2.19814613849743,,,,Sand mixtures,,,Clay & silt 1,1,0.02,0.38,1.54,1.1800000000000002
