top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.47,1.13,0.02,0.36,"Soil, fine grain",0.33999999999999997,1,"Soil, fine grain 1"
1.13,-2.17,0.36,3.66,Sand,3.3000000000000003,1,Sand 1
-2.17,-4.2299999999999995,3.66,5.72,Sand,2.0599999999999996,2,Sand 2
-4.2299999999999995,-5.67,5.72,7.16,Sand mixtures,1.4400000000000004,1,Sand mixtures 1
-5.67,-7.789999999999999,7.16,9.28,Sand,2.119999999999999,3,Sand 3
-7.789999999999999,-34.35,9.28,35.84,Sand,26.560000000000002,4,Sand 4
