top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.41,1.0499999999999998,0.02,0.38,Clay & silt,0.36,1,Clay & silt 1
1.0499999999999998,0.010000000000000009,0.38,1.42,Sand,1.04,1,Sand 1
0.010000000000000009,-0.9299999999999999,1.42,2.36,Sand mixtures,0.94,1,Sand mixtures 1
-0.9299999999999999,-2.25,2.36,3.68,Peat,1.3200000000000003,1,Peat 1
-2.25,-4.19,3.68,5.62,Sand,1.94,2,Sand 2
-4.19,-4.67,5.62,6.1,Sand mixtures,0.47999999999999954,2,Sand mixtures 2
-4.67,-11.85,6.1,13.28,Sand,7.18,3,Sand 3
-11.85,-31.71,13.28,33.14,Sand,19.86,4,Sand 4
-31.71,-32.67,33.14,34.1,Sand,0.9600000000000009,5,Sand 5
-32.67,-33.77,34.1,35.2,Sand,1.1000000000000014,6,Sand 6
