top_elevation_m_nap,bottom_elevation_m_nap,top_depth_m,bottom_depth_m,soil_type,thickness_m,soil_layer_number,layer_id
1.38,1.2799999999999998,0.02,0.12,"Soil, fine grain",0.09999999999999999,1,"Soil, fine grain 1"
1.2799999999999998,0.98,0.12,0.42,Sand mixtures,0.3,1,Sand mixtures 1
0.98,0.039999999999999813,0.42,1.36,Sand,0.9400000000000002,1,Sand 1
0.039999999999999813,-0.9199999999999999,1.36,2.32,Sand mixtures,0.9599999999999997,2,Sand mixtures 2
-0.9199999999999999,-1.62,2.32,3.02,Peat,0.7000000000000002,1,Peat 1
-1.62,-3.94,3.02,5.34,Sand,2.32,2,Sand 2
-3.94,-4.66,5.34,6.06,Sand mixtures,0.7199999999999998,3,Sand mixtures 3
-4.66,-10.24,6.06,11.64,Sand,5.580000000000001,3,Sand 3
-10.24,-12.76,11.64,14.16,Sand,2.5199999999999996,4,Sand 4
-12.76,-20.92,14.16,22.32,Sand,8.16,5,Sand 5
-20.92,-24.040000000000003,22.32,25.44,Sand,3.120000000000001,6,Sand 6
